"recno","Observer","Location","Desg","Month","Day","Year","m1","diam","dc","pa","scope","comments","jd","url"
"2","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","4","25.396","2002","3.7","8.2 ?","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","From Petit Jean Mountain, strong moonlight.","2452389.8960",""
"3","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","4","15.444","2002","3.9","5.5","2/9","319","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Tail 4 deg., with sharp spike from coma center; no nucleus visible nor with CCD imaging; much light pollution and haze, morning twilight.","2452379.9440",""
"4","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","4","06.444","2002","3.5","2.2","2/9","336","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Long nice tail for 7.7 deg.  Absolutely NO nucleus seen in very uniformly bright coma; central tail spike from head at 335 deg.","2452370.9440",""
"5","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","4","06.444","2002","3.19","7","2/9","190","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Tail strongly curved, 4.5 deg. length; moderate light pollution, twilight.","2452370.9440",""
"6","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","3","11.046","2002","4.01","","","","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Data not recorded other than CCD magnitude.  Images on file.","2452344.5460",""
"9","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","12.323","2002","14.59","7""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Appears round with no detail; irregular perimeter, quite diffuse; poor conditions with high clouds.","2452437.8230",""
"10","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","08.344","2002","14.59","7""","4/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","very faint, stellar LM = 16.8, poor conditions.","2452433.8440",""
"11","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","06.272","2002","14.51","10""","3/9","183","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Tail distinct tonight; 22"" length, fan shaped.  Fine sky conditions.","2452431.7720",""
"12","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","04.330","2002","14.57","10""","3/9","188","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Tail 17"" length, nice extension, wide; poor conditions.","2452429.8300",""
"13","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","02.292","2002","14.93","11""","4/9","185","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Some light pollution; tail is 50"" length,nice image.","2452427.7920",""
"14","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","01.343","2002","14.65","8""","3/9","190","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short elongation (tail?), 8-10"" length, very clear sky with moon rising in E.","2452426.8430",""
"15","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","5","22.355","2002","13.84","22""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Strong moonlight; no tail noted.","2452416.8550",""
"16","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","5","21.342","2002","13.78","10""","2/9","235","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short stubby tail 20"" length, some high cirrus and quarter moon.","2452415.8420",""
"17","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","5","12.344","2002","13.66","4""","7/9","195","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short 8"" long tail, stubby fan shaped.  Comet appears incredibly small tonight in spite of excellent skies.","2452406.8440",""
"18","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","5","07.312","2002","12.36","9""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","No tail noted in very deep clear skies; comet round without any detail nor nuclear condensation.","2452401.8120",""
"19","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","29.330","2002","13.05","4-5""","2/9","250","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","In strong moonlight; comet is next to 16th mag. star, making photometry subjective.  Elongated slightly in PA 250","2452393.8300",""
"20","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","23.346","2002","12.56","10""","8/9","270?","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet elongated in E-W orientation, appearing VERY condensed tonight as if the nucleus has had an outburst; very clear, but gibbous moon.","2452387.8460",""
"21","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","25.296","2002","14.06","14""","6/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","","2452389.7960",""
"22","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","22.333","2002","13.87","3""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet appears nearly stellar with diffuse glow; very small; no tail nor elongation.","2452386.8330",""
"23","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","16.296","2002","14.14","8""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Heavy cirrus clouds affecting estimates; no tail.","2452380.7960",""
"24","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","19.338","2002","13.64","12""","8/9","262","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Possible fan-shaped tail or extension in PA 262, moderate light pollution.","2452383.8380",""
"25","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","11.146","2002","13.47","12""","7/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Very dark skies, but no tail visible in image; very diffuse coma appearing to be surrounded by brighter ""ring"" or ""halo."" (?)","2452375.6460",""
"26","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","10.347","2002","13.46","31""","7/9","239","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short 12-15"" tail noted in image, very dark and clear skies.","2452374.8470",""
"29","P. Clay Sherrod","ASO - Conway","C/2000 WM1 (LINEAR)","6","06.281","2002","15.02","8""","3/9","182","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Broad tail extension imaged; excellent skies.","2452431.7810",""
"30","P. Clay Sherrod","ASO - Conway","C/2000 WM1 (LINEAR)","5","21.302","2002","13.34","20""","7/9","205","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet quite large appearing, diffuse and faint; quarter moon in opposite sky.","2452415.8020",""
"31","P. Clay Sherrod","ASO - Conway","C/2000 WM1 (LINEAR)","4","25.357","2002","12.78","52""","4/9","220","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Fan tail for 42"" length despite strong light from gibbous moon.","2452389.8570",""
"32","P. Clay Sherrod","ASO - Conway","C/2000 WM1 (LINEAR)","4","15.354","2002","12.68","17""","4/9","270-250","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Fan tail, coma very diffuse and without structure, difficult in haze and gray sky.","2452379.8540",""
"33","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","6","12.254","2002","14.67","4""","2/9","180?","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Strong elongation suspecting in N-S direction, comet quite small, diffuse with no condensation.","2452437.7540",""
"34","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","6","08.346","2002","14.67","10""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Target is totally round and very diffuse, not detail; conditions very poor.","2452433.8460",""
"35","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","6","06.257","2002","14.91","15""","3/9","160","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Tail distinct, 22"" long, very faint but larger than on previous dates.","2452431.7570",""
"36","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","6","04.311","2002","14.61","4""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Becoming very small and difficult; round, no structure.","2452429.8110",""
"37","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","6","02.261","2002","15.06","12""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet uniformly round and quite faint, despite very dark skies; no tail.","2452427.7610",""
"38","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","6","01.319","2002","15.12","18""","1/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet is uniformly round; no tail in very dark and clear sky.","2452426.8190",""
"39","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","5","31.270","2002","14.89","10""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet large and diffuse, no tail.","2452425.7700",""
"40","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","5","23.344","2002","14.11","11""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Round and diffuse, quite faint.","2452417.8440",""
"41","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","5","21.291","2002","14.09","22""","3/9","210?","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Stuby elongation in PA 210 degrees, high cirrus, moonlight.","2452415.7910",""
"42","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","5","19.364","2002","14.56","10""","4/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet appears diffuse and round, very clear and dark sky.","2452413.8640","2002_H2_0519.jpg"
"43","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","5","14.312","2002","14.66","31""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet appears nearly stellar at core, perhaps superimposed over a 15th mag. star. Large and diffuse.","2452408.8120",""
"44","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","5","07.328","2002","14.16","3""","7/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","No tail, tiny and round, nebulous; comet is surprisingly small tonight, in spite of deep clear and ark skies.","2452401.8280",""
"45","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","4","29.297","2002","14.28","5""","2/9","255","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Not actually a tail, but the comet appears elongated in the 255 degree point.","2452393.7970",""
"46","P. Clay Sherrod","ASO - Conway","C/2001 K5 (LINEAR)","6","12.248","2002","14.27","8""","4/9","170","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Slim possiblity of tail in PA 170 d.  Poor conditions with clouds; diffuse and faint.","2452437.7480",""
"47","P. Clay Sherrod","ASO - Conway","C/2001 N2 (LINEAR)","6","12.311","2002","14.21","8""","2/9","202","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short fan tail for 15"" length; comet is small and diffuse with no central condensation.","2452437.8110",""
"48","P. Clay Sherrod","ASO - Conway","C/2001 N2 (LINEAR)","6","08.354","2002","14.62","8""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Conditions very poor and likely affecting data.","2452433.8540",""
"51","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","6","12.260","2002","16.11","9""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet is very round, small, with distinct diffuse coma, no condensation at all.","2452437.7600",""
"52","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","6","08.296","2002","15.99","3""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet tiny and round, uniformly diffuse, poor conditions.","2452433.7960",""
"53","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","6","04.253","2002","16.07","5""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet nearly stellar but diffuse; uniformly round with no tail nor extension.","2452429.7530",""
"54","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","5","19.305","2002","15.19","3""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet is tinyh and nearly stellar appearing; very deep skies; comet verified via 3 sets of images, 20 minutes apart.","2452413.8050",""
"55","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","4","25.300","2002","14.38","2""","1/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet could be mistaken for star if it were not for motion in 2-hour period to confirm; very difficult.","2452389.8000",""
"56","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","4","18.388","2002","13.81","4""","7/9","356?","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Possible tail in PA 356, or extension of coma, measuring 3-5"" length; conditions not good with moderate haze.","2452382.8880",""
"57","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","6","12.218","2002","15.58","5""","2.9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Possible stubby tail extension in PA 180; comet is very small and faint, but clearly nebulous.","2452437.7180",""
"58","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","6","06.297","2002","16.18","8""","3/9","110-182","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","A very broad and short (15"") fan tail extends from PA 110 to 182 deg.  Very interesting sight; comet is distinctly and uniformly bright in coma; very deep clear skies.","2452431.7970",""
"59","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","6","02.240","2002","14.69","3""","8/9","n/aq","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Conditions are less than perfect, but comet is distinctly seen as a small, nearly stellar, nebulous patch.","2452427.7400",""
"60","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","6","01.272","2002","14.68","3""","9/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet confirmed via 1-hour motion; nearly stellar but a hint of peripheral nebulosity.","2452426.7720",""
"61","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","5","19.313","2002","15.99","2""","7/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Excellent sky conditions, with LM of 17.8; comet is clearly diffuse against a rich star field.","2452413.8130",""
"62","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","5","14.282","2002","16.46","3""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Tiny round and diffuse in near-perfectly clear and dark sky.","2452408.7820",""
"63","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","4","23.299","2002","15.74","2""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Appears stellar except for confirming motion in 1.15 hour duration; some bit of nebulosity; strong moon to west.","2452387.7990",""
"64","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","4","25.312","2002","15.19","4""","2/9","n/a?","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet distinctly ellipsoid in coma.","2452389.8120",""
"68","P. Clay Sherrod","ASO - Conway","24P Schaumasse","6","02.305","2002","15.19","4""","5/9","225","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short tail or extension detected for 8"" at PA 225; comet is round, diffuse and difficult in moonlight.","2452427.8050",""
"69","P. Clay Sherrod","ASO - Conway","7P Pons-Winnecke","5","23.385","2002","<16.2","n/a","","","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet continues to elude capture on CCD; very faint, perhaps nearly stellar; blinking for motion does not reveal an object on this date.","2452417.8850",""
"70","P. Clay Sherrod","ASO - Conway","7P Pons-Winnecke","4","18.417","2002","12.87","2""","9/10","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Nearly perfectly stellar and confirmed via 1.5 hour motion though blink.","2452382.9170",""
"71","P. Clay Sherrod","ASO - Conway","7P Pons-Winnecke","3","10.411","2002","16.16","4""","7/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Nearly stellar; confirmed via blink per motion.","2452343.9110",""
"72","P. Clay Sherrod","ASO - Conway","115P Maury","5","14.281","2002","16.44","3""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet extremely faint and stellar; identified through blink motion.","2452408.7810",""
"73","P. Clay Sherrod","ASO - Conway","115P Maury","4","23.279","2002","16.07","2""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet very small; slightly nebulous, confirmed via 40-min. motion against star field in blink.","2452387.7790",""
"74","P. Clay Sherrod","ASO - Conway","P/2001 OG108 - ( LONEOS)","5","14.097","2002","15.69","2""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Stellar, with a bit of nebulosity at periphery; confirmed via 30-min motion in star field, blink comparator.","2452408.5970",""
"75","P. Clay Sherrod","ASO - Conway","P/2001 OG108 - ( LONEOS)","5","05.145","2002","14.82","2""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","This comet is not as bright as reported, at least on this night; nearly stellar with I.D. confirmed from 40-min drift via blink comparator from images.","2452399.6450",""
"76","P. Clay Sherrod","ASO - Conway","P/2001 OG108 - ( LONEOS)","4","25.343","2002","14.26","2""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Very difficult and stellar in strong moonlight nearby; comet verified via blink comparator, 3 images, one hour.","2452389.8430",""
"78","P. Clay Sherrod","ASO - Conway","65P - Gunn","5","14.129","2002","14.52","4""","2/9","135","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short tail extends 6"" length; comet small and nebulous in very dark skies.","2452408.6290",""
"83","P. Clay Sherrod","ASO - Conway","65P - Gunn","4","16.260","2002","15.16","4""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet appears as fuzzy very faint star; motion appreciable in 30 minute period; very thick clouds moving in.","2452380.7600",""
"84","P. Clay Sherrod","ASO - Conway","65P - Gunn","4","19.146","2002","14.93","4""","2/9","115","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Stubby distinct tail in PA 115; very difficult tonight due to proximity of 10th mag. star; round a diffuse.","2452383.6460",""
"86","P. Clay Sherrod","ASO - Conway","65P - Gunn","4","12.212","2002","15.10","15""","2/9","281","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Nice 9"" long broad fan tail imaged; some light pollution in minor hazy sky.","2452376.7120",""
"87","P. Clay Sherrod","ASO - Conway","65P - Gunn","4","11.292","2002","15.01","8""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Very wide and open diffuse nebulous patch, very difficult.","2452375.7920",""
"90","P. Clay Sherrod","ASO - Conway","65P - Gunn","4","14.346","2002","14.38","4""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","","2452378.8460",""
"96","P. Clay Sherrod","ASO - Conway","65P - Gunn","3","04.342","2002","14.46","4""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet imaged with either a double nucleus (8/9)or adjacent to star of exact magnitude as nucleus (about m2 = 15.4)","2452337.8420","comet_65P_0305.jpg"
"99","P. Clay Sherrod","ASO - Conway","77P - Longmore","5","12.171","2002","15.93","2""","9/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet is stellar in nature; confirmed via 3 images over 42 minute interval and blink comparator.","2452406.6710",""
"102","P. Clay Sherrod","ASO - Conway","77P - Longmore","4","16.298","2002","15.39","2-4""","2/9","?","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Coma is tight but elongated in a NW-SE direction.","2452380.7980",""
"107","P. Clay Sherrod","ASO - Conway","77P - Longmore","4","10.260","2002","15.61","2""","3/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.","2452374.7600",""
"109","P. Clay Sherrod","ASO - Conway","77P - Longmore","4","05.38","2002","15.84","8""","1/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.  Round glow.","2452369.8800",""
"110","P. Clay Sherrod","ASO - Conway","77P - Longmore","3","21.281","2002","15.35","5""","2/9","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.","2452354.7810",""
"117","P. Clay Sherrod","ASO - Conway","C/1999 U4 - Catalina-Skiff","5","05.155","2002","<16.85","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Stellar limiting magnitude below 17.0; nothing noted in series of 3 blinked images over 40 minute interval.","2452399.6550",""
"120","P. Clay Sherrod","ASO - Conway","19P - Borrelly","5","14.135","2002","<16.43","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Imaged to below 16.43 stellar in deep clear skies; blink images (3) do not reveal any object.","2452408.6350",""
"121","P. Clay Sherrod","ASO - Conway","19P - Borrelly","5","12.213","2002","15.21","3""","9/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.","2452406.7130",""
"122","P. Clay Sherrod","ASO - Conway","19P - Borrelly","5","05.171","2002","15.78","2""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.  Excellent deep skies.","2452399.6710",""
"123","P. Clay Sherrod","ASO - Conway","19P - Borrelly","4","29.260","2002","14.37","4""","2/9","165?","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Appears to be an elongation of coma in PA 165; strongly moonlight.","2452393.7600",""
"124","P. Clay Sherrod","ASO - Conway","19P - Borrelly","4","16.288","2002","15.01","2""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.  Slightly diffuse in one image.","2452380.7880",""
"125","P. Clay Sherrod","ASO - Conway","19P - Borrelly","4","22.344","2002","15.29","2""","7/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.","2452386.8440",""
"126","P. Clay Sherrod","ASO - Conway","19P - Borrelly","4","16.344","2002","14.95","2""","1/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.","2452380.8440",""
"127","P. Clay Sherrod","ASO - Conway","19P - Borrelly","4","19.129","2002","15.67","2""","1/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes; moderate light pollution.","2452383.6290",""
"128","P. Clay Sherrod","ASO - Conway","19P - Borrelly","4","10.252","2002","16.92","2""","4/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Extremely faint and difficult; nearly stellar; confirmed via 3-image blink, 40 minutes.","2452374.7520",""
"129","P. Clay Sherrod","ASO - Conway","19P - Borrelly","3","21","2002","<15.93","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Stellar limit via two-image (30 min. interval) to 16; no motion of any object to that magnitude so no confirmation.","2452354.5000",""
"130","P. Clay Sherrod","ASO - Conway","19P - Borrelly","3","13.345","2002","15.29","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Photometric measurements and image only.","2452346.8450","19P_0313.JPG"
"131","P. Clay Sherrod","ASO - Conway","19P - Borrelly","3","11.417","2002","14.09","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet imaged and measured photometrically only.","2452344.9170",""
"132","P. Clay Sherrod","ASO - Conway","19P - Borrelly","3","06.409","2002","14.04","","","slight","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet shows slight tail; imaged and measured photometrically only.","2452339.9090","comet_19P_0306.JPG"
"133","P. Clay Sherrod","ASO - Conway","19P - Borrelly","3","10.296","2002","14.86","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet imaged and measured photometrically only.  A nice bit of tail can be seen in this enhanced image.","2452343.7960","comet_19P_0310.jpg"
"135","P. Clay Sherrod","ASO - Conway","22P - Kopff","4","29.283","2002","<15.7","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Stellar limiting magnitude reduced to 16; no object with motion (via Blink) noted to that magnitude.","2452393.7830",""
"140","P. Clay Sherrod","ASO - Conway","22P - Kopff","4","10.292","2002","14.94","4""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet distinctly round and diffuse; seemingly brighter than predicted.","2452374.7920",""
"142","P. Clay Sherrod","ASO - Conway","144P - Kushida","4","15.323","2002","17.03","2""","9/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 65 minutes.  Moderate high haze.","2452379.8230",""
"145","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","15.289","2002","<17.44","n/a","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Stellar images to mag. 17.44 recorded easily; three separate images of identified star field were taken and blinked and nothing moving noted.  Curious.","2452440.7890",""
"146","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","6","13.155","2002","15.56","3""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet is very round and diffuse; conditions are not good, and object is at the threshold of the CCD.","2452438.6550",""
"147","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","6","15.149","2002","16.26","12""","4/0","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Beautiful night and comet is a very small nebulous spot against and ink-black sky.  No structure seen.","2452440.6490",""
"150","P. Clay Sherrod","ASO - Conway","22P - Kopff","6","15.146","2002","14.63","9""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Very tiny but nebulous; sky conditions perfect; comet confirmed via blink motion, 3 images, 40 minutes.  Beautiful sky conditions.","2452440.6460",""
"152","P. Clay Sherrod","ASO - Conway","115P Maury","6","15.171","2002","15.97","12""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Very tiny but nebulous; sky conditions perfect; comet confirmed via blink motion, 3 images, 40 minutes.","2452440.6710",""
"153","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","6","15.167","2002","<17.44","n/a","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet not identified in 17.44 stellar confirmed field, using three blinked images taken over 40 minute interval.","2452440.6670",""
"154","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","6","13.117","2002","15.87","3""","3/9","111 ?","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Possible extension noted (8"" length) in PA 111 deg.  Comet very faint and difficult in poor skies.","2452438.6170",""
"155","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","6","15.253","2002","14.97","8""","2/9","NONE","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet is very difficult, although a large diffuse round spot seen in very dark skies.","2452440.7530",""
"162","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","17.343","2002","14.39","5""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet is fading rapidly and appears nearly stellar; identity confirmed via 30-minute interval, blink.","2452442.8430",""
